term,mean_tfidf
cnn center atlanta,0.0033192733615259374
cnn center,0.0033192733615259374
result cnn,0.0033192733615259374
result cnn com,0.0033192733615259374
com preference,0.0033192733615259374
com preference settings,0.0033192733615259374
receive email cnn,0.0033192733615259374
agreed receive email,0.0033192733615259374
preference settings manage,0.0033192733615259374
agreed receive,0.0033192733615259374
com result,0.0033192733615259374
research,0.003282701097381998
download,0.0032671811032953762
store,0.0032660017425046547
say,0.0032467848403442755
year,0.003244127256097438
python dev mailing,0.0032417654101470116
09,0.0032281982478332334
systems,0.0032272493374311253
power,0.0032231261235751998
24,0.0032139150176670713
po,0.00321081115806599
page,0.0032076934874647432
comments,0.0031922983446274755
kin,0.0031863200800121352
internet,0.0031808845911841135
16,0.003174902852698885
payment,0.0031646604317150215
25,0.0031576990095650054
local,0.003156270063466806
en,0.003153830888710593
reason,0.003153542468840366
original,0.0031465623590952725
08,0.003145838647681272
click url,0.0031214987444846552
following,0.003115228327554576
dollars,0.0031128815061008605
dr,0.0031104831748948697
customer,0.003107764206912109
method,0.0030987996946725757
special,0.003088588867378537
access,0.0030868652707337855
different,0.0030811137011294517
late,0.0030777368838025383
text,0.0030652284496410828
start,0.0030625569766550126
guaranteed,0.0030576160304142605
computer,0.0030519652762582552
build,0.0030484443380195034
assistance,0.0030423635907778713
foreign,0.003039117667880303
government,0.003039051902713551
fast,0.003035250225445188
fri,0.003031880188218092
release,0.0030317220396658857
end,0.003027761951895555
messages,0.0030257958032196964
things,0.003018583003157785
video,0.0030177814081624728
package,0.0030177122864413018
provide,0.0030115802565818146
07,0.003006025649303138
feb,0.003005499738733314
proposal,0.003002876917565115
father,0.0029990282138195566
lar,0.0029916671766680955
bug,0.002991321293394903
running,0.0029851594217811367
doesn,0.002970455484584504
american,0.002965492015929562
01,0.0029593496762771554
process,0.002956483355654075
post,0.0029532680317691006
phone,0.002940127974505654
delivery,0.0029382072548860627
increase,0.002933799833342676
install,0.002930962488012498
works,0.002927192516481063
source,0.0029267229633640366
sum,0.0029187155734267593
gain,0.0029176289772061743
lot,0.0029135482968970774
dvd,0.0028941510559224895
assignee,0.0028882643107525433
united,0.0028867752524963796
org,0.002886450619714595
problems,0.0028842331175640066
request,0.002873102423303923
purchase,0.0028717516338247905
spamassassin,0.0028716325767833813
open,0.0028713327742791294
obama,0.0028661960720221943
watches replica classics,0.0028564742510258593
thank,0.002855472201591727
results,0.002843277529875025
soon,0.00283624214839463
passengers,0.0028351731740296035
18,0.002831977786794626
usa,0.002823795561554039
received,0.0028125885881819575
large,0.002810034508898475
14,0.0028045136731442355
person,0.002801437611088726
based,0.002789352133556409
working,0.00278539859037558
terms,0.002779227052632765
days,0.0027791637141006097
till,0.0027747203247601945
pills,0.002771899108426054
note,0.002769950632886832
